Outlet,Figure,Sentiment,Date,Sentiment_Numeric,Weighted_Mean
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Negative,april_16,-1.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Negative,april_16,-1.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Negative,april_16,-1.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Negative,april_16,-1.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Negative,april_16,-1.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Negative,april_16,-1.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Neutral,april_16,0.0,-0.39896373056994816
CNN,Trump,Negative,april_16,-1.0,-0.39896373056994816
CNN,Trump,Positive,april_16,1.0,-0.39896373056994816
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Neutral,april_16,0.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Neutral,april_16,0.0,-0.6064139941690962
FOX,Biden,Neutral,april_16,0.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Neutral,april_16,0.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
